vOTU_ID	size	Novel_species	VC	VClustering	Novel_genus	dominant	source	checkv_quality	viral_lifecycle	Related_to_PP	With_ARG	viral_taxonomy_lineage	host_taxonomy_lineage	geNomad	checkV (at least medium)	VIBRANT	Viral_verify	lineage_vcontact
vOTU_0427	5883	No	762	762	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	ND	1	1	0	0	r__Monodnaviria; k__Sangervirae; p__Phixviricota; c__Malgrandaviricetes; o__Petitvirales; f__Microviridae
vOTU_0428	5349	Yes	580	580	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	ND	1	1	0	1	r__Monodnaviria; k__Sangervirae; p__Phixviricota; c__Malgrandaviricetes; o__Petitvirales; f__Microviridae; sf__Gokushovirinae; g__Gokushovirus
vOTU_0429	5195	No	580	580	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	ND	1	1	0	1	r__Monodnaviria; k__Sangervirae; p__Phixviricota; c__Malgrandaviricetes; o__Petitvirales; f__Microviridae; sf__Gokushovirinae; g__Gokushovirus
vOTU_0430	123246	No	76	76	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0431	83866	No	714	714	No	No	SpadesMetaV	High-quality	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	1	1	1	0	NA
vOTU_0432	58483	Yes	105	105	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp002431915	1	1	1	1	NA
vOTU_0433	55434	Yes	80	80	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	1	1	1	1	NA
vOTU_0434	47897	No	101	101	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	1	1	1	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0435	45599	Yes	47	47	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii	1	1	1	1	NA
vOTU_0436	44486	Yes	468	468	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis	1	0	0	0	NA
vOTU_0437	42287	No	144;248	OUT/SINGLE/OVER	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	1	1	1	1	NA
vOTU_0438	40973	No	156	156	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	1	1	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0439	39042	Yes	312	312	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__OF09-33XD;s__OF09-33XD sp003481995	1	1	0	1	NA
vOTU_0440	38951	No	299	299	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	1	1	0	1	NA
vOTU_0441	38544	Yes	23	23	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0442	35581	No	620	620	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	1	1	0	1	NA
vOTU_0443	35262	Yes	341	341	Yes	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__NSJ-40;s__NSJ-40 sp014384705	1	1	1	1	NA
vOTU_0444	34889	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0445	34394	No	46	46	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus	1	1	1	1	NA
vOTU_0446	34337	No	80	80	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	1	1	0	1	NA
vOTU_0447	33555	No	724	724	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	1	1	0	1	NA
vOTU_0448	32501	Yes	70	70	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0449	32317	No	137;812	OUT/SINGLE/OVER	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__UBA7160 sp902363665	1	1	1	1	NA
vOTU_0450	31264	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305	1	1	0	1	NA
vOTU_0451	30433	No	94	94	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820;g__UBA1820;s__UBA1820 sp002314265	1	1	0	1	NA
vOTU_0452	30406	No	101	101	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	1	1	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0453	25689	No	93	93	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	1	1	1	1	NA
vOTU_0454	22721	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	0	1	NA
vOTU_0455	21556	No	923	923	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__CAG-313;s__CAG-313 sp003539625	1	0	0	0	NA
vOTU_0456	21220	No	337	337	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	1	1	0	1	NA
vOTU_0457	20819	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	1	0	0	1	NA
vOTU_0458	20307	Yes	809	809	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	1	0	0	0	NA
vOTU_0459	20110	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFFH01;s__SFFH01 sp900542445	1	0	0	0	NA
vOTU_0460	19216	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	1	0	1	1	NA
vOTU_0461	19181	No	461;769	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	0	NA
vOTU_0462	18659	Yes	183	183	Yes	No	SpadesMetaV	Not-determined	ND	No	No	ND	ND	1	0	0	0	NA
vOTU_0463	17862	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA11774;s__UBA11774 sp003507655	1	0	0	0	NA
vOTU_0464	17559	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	1	0	0	1	NA
vOTU_0465	16977	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica	1	0	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0466	16748	No	14	14	No	No	SpadesMetaV	Medium-quality	ND	Yes	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0467	16665	Yes	8	8	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0468	16641	Yes	249	249	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	1	0	0	0	NA
vOTU_0469	16628	No	721	721	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hydrogeniiclostridium;s__Hydrogeniiclostridium sp002160025	1	0	1	1	NA
vOTU_0470	16479	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	NA
vOTU_0471	16210	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	1	0	0	1	NA
vOTU_0472	15863	Yes	504	504	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0473	15727	Yes	51;98	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp900770015	1	0	0	0	NA
vOTU_0474	15058	Yes	543	543	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp900552465	1	0	0	0	NA
vOTU_0475	14725	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	1	0	0	1	NA
vOTU_0476	14263	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Not-determined	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900540775	1	0	0	0	NA
vOTU_0477	13869	Yes	221	221	No	No	SpadesMetaV	High-quality	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	0	1	NA
vOTU_0478	13526	No	221	221	No	No	SpadesMetaV	High-quality	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	0	1	NA
vOTU_0479	12806	No	551	551	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	1	0	0	0	NA
vOTU_0480	12424	No	738	738	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus;s__Faecalibacillus faecis	1	0	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0481	12352	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E	1	0	0	0	NA
vOTU_0482	12189	No	830	830	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-306;s__CAG-306 sp000980375	1	0	0	0	NA
vOTU_0483	11990	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	1	0	0	1	NA
vOTU_0484	11983	No	298	298	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_J	1	0	0	0	NA
vOTU_0485	11522	Yes	543	543	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	1	0	0	0	NA
vOTU_0486	11390	No	523	523	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	0	NA
vOTU_0487	11364	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	1	0	0	1	NA
vOTU_0488	10961	No	454	454	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	1	0	0	0	NA
vOTU_0489	10427	No	306	306	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	1	0	0	1	NA
vOTU_0490	10386	Yes	291	291	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	0	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0491	10298	Yes	596	596	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__UBA1254;s__UBA1254 sp902767055	1	0	0	0	NA
vOTU_0492	10295	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055	1	0	0	1	NA
vOTU_0493	10274	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus	1	0	0	1	NA
vOTU_0494	8886	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	1	0	0	0	NA
vOTU_0495	6784	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	1	0	0	0	NA
vOTU_0496	3680	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066145	1	0	0	0	NA
vOTU_0497	39942	Yes	31	31	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis	1	1	1	1	NA
vOTU_0498	39465	Yes	234	234	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003478505	1	1	0	1	NA
vOTU_0499	35121	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella tayi	1	1	1	1	NA
vOTU_0500	14660	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	1	0	0	0	NA
vOTU_0501	3213	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Not-determined	ND	No	No	ND	ND	1	0	0	0	NA
vOTU_0502	3197	Yes	810	810	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	0	NA
vOTU_0503	173932	Yes	318	318	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	0	1	NA
vOTU_0504	159805	No	335	335	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp900319535	1	1	0	1	NA
vOTU_0505	122364	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp003481705	1	1	0	1	NA
vOTU_0506	106504	No	432	432	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	1	1	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; o__Crassvirales; f__Suoliviridae; sf__Loutivirinae; g__Buchavirus
vOTU_0507	92699	Yes	447	447	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	0	NA
vOTU_0508	75884	No	672	672	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900543455	1	1	0	1	NA
vOTU_0509	70132	No	158	158	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	1	1	0	1	NA
vOTU_0510	66534	Yes	287;751	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis_A	1	1	0	1	NA
vOTU_0511	61556	No	105	105	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	1	1	1	1	NA
