Genome_vCon	VC	VC Status	Size	VC Subcluster	VC Subcluster Size	Quality	Adj P-value	Topology Confidence Score
NC_042314	315_0	Clustered	27	VC_315_0	27	0.7785	1	0.7785
NC_042318	315_0	Clustered	27	VC_315_0	27	0.7785	1	0.7785
NC_042330	315_0	Clustered	27	VC_315_0	27	0.7785	1	0.7785
NC_042334	315_0	Clustered	27	VC_315_0	27	0.7785	1	0.7785
NC_043029	708_0	Clustered	3	VC_708_0	3	0.6572	0.98155579	0.6451
NC_047735	328_13	Clustered	3	VC_328_13	3	0.0575	0.99830092	0.0574
NC_047736	328_4	Clustered	2	VC_328_4	2	0.0281	0.92293912	0.0259
NC_047749	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_047754	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_047765	759_0	Clustered	4	VC_759_0	4	0.9326	0.99883229	0.9315
NC_047786	835_0	Clustered	2	VC_835_0	2	0.949	0.81445332	0.773
NC_047822	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_047835	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_047859	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_047881	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_047884	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_047914	185_2	Clustered	4	VC_185_2	4	0.2176	0.99998301	0.2176
NC_047949	109_0	Clustered	2	VC_109_0	2	0.0694	0.95631967	0.0664
NC_047950	109_0	Clustered	2	VC_109_0	2	0.0694	0.95631967	0.0664
NC_047974	518_0	Clustered	5	VC_518_0	5	0.7038	0.99995697	0.7038
NC_047976	684_0	Clustered	6	VC_684_0	6	0.9323	0.99999942	0.9323
NC_047979	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_047983	635_0	Clustered	3	VC_635_0	3	0.5849	0.99613166	0.5827
NC_047988	684_0	Clustered	6	VC_684_0	6	0.9323	0.99999942	0.9323
NC_047989	684_0	Clustered	6	VC_684_0	6	0.9323	0.99999942	0.9323
NC_047993	684_0	Clustered	6	VC_684_0	6	0.9323	0.99999942	0.9323
NC_047999	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048000	107_4	Clustered/Singleton	1	VC_107_4	1	0	1	0
NC_048001	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048005	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048006	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048007	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048008	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048009	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048010	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048011	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048012	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048013	107_3	Clustered/Singleton	1	VC_107_3	1	0	1	0
NC_048020	684_0	Clustered	6	VC_684_0	6	0.9323	0.99999942	0.9323
NC_048041	109_2	Clustered/Singleton	1	VC_109_2	1	0	1	0
NC_048062	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048086	109_1	Clustered	3	VC_109_1	3	0.0297	0.99850759	0.0297
NC_048089	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048110	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048145	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048149	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048152	872_0	Clustered	2	VC_872_0	2	0.9908	0.5	0.4954
NC_048165	684_0	Clustered	6	VC_684_0	6	0.9323	0.99999942	0.9323
NC_048627	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048640	151_0	Clustered	3	VC_151_0	3	0.3203	0.99839409	0.3198
NC_048652	328_12	Clustered	2	VC_328_12	2	0.0313	0.94265195	0.0295
NC_048665	350_0	Clustered	7	VC_350_0	7	0.614	1	0.614
NC_048726	328_12	Clustered	2	VC_328_12	2	0.0313	0.94265195	0.0295
NC_048731	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048735	639_0	Clustered	2	VC_639_0	2	0.6896	0.91813282	0.6331
NC_048748	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048756	919_0	Clustered	2	VC_919_0	2	1	1	1
NC_048757	919_0	Clustered	2	VC_919_0	2	1	1	1
NC_048760	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048772	795_2	Clustered/Singleton	1	VC_795_2	1	0	1	0
NC_048781	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048785	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048786	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048794	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048795	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048797	328_7	Clustered/Singleton	1	VC_328_7	1	0	1	0
NC_048808	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048809	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048811	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048818	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048819	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048848	297_0	Clustered	4	VC_297_0	4	0.1818	0.99992888	0.1818
NC_048852	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048865	107_1	Clustered	25	VC_107_1	25	0.4375	1	0.4375
NC_048866	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048867	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048868	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048869	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048870	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048871	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048872	107_2	Clustered	32	VC_107_2	32	0.5268	1	0.5268
NC_048892	912_0	Clustered	2	VC_912_0	2	1	1	1
NC_049341	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NC_049344	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NC_049432	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NC_049468	638_0	Clustered	9	VC_638_0	9	0.9967	0.99999997	0.9967
NC_049478	872_0	Clustered	2	VC_872_0	2	0.9908	0.5	0.4954
NC_049805	792_0	Clustered	5	VC_792_0	5	1	1	1
NC_049806	792_0	Clustered	5	VC_792_0	5	1	1	1
NC_049807	792_0	Clustered	5	VC_792_0	5	1	1	1
NC_049808	792_0	Clustered	5	VC_792_0	5	1	1	1
NC_050152	9_5	Clustered	2	VC_9_5	2	0.006	0.95628638	0.0058
NC_050153	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NC_050154	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP020558	398_1	Clustered/Singleton	1	VC_398_1	1	0	1	0
NZ_CP061173	834_0	Clustered	2	VC_834_0	2	0.9229	0.81445332	0.7517
NZ_CP014149	269_0	Clustered	7	VC_269_0	7	0.3892	1	0.3892
NZ_CP009882	85_0	Clustered	4	VC_85_0	4	0.0872	0.99998523	0.0872
NZ_CP053546	381_3	Clustered/Singleton	1	VC_381_3	1	0	1	0
NZ_CP012277	789_0	Clustered	3	VC_789_0	3	0.9613	0.92554266	0.8898
NZ_CP012289	789_0	Clustered	3	VC_789_0	3	0.9613	0.92554266	0.8898
NZ_CP010594	796_0	Clustered	5	VC_796_0	5	1	1	1
NC_023143	796_0	Clustered	5	VC_796_0	5	1	1	1
NZ_CP010703	796_0	Clustered	5	VC_796_0	5	1	1	1
NZ_CP010733	796_0	Clustered	5	VC_796_0	5	1	1	1
NZ_CP010721	796_0	Clustered	5	VC_796_0	5	1	1	1
NZ_CP012510	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP012512	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP012414	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP012417	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP013948	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP013947	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013977	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013820	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP013818	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013761	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP013765	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP013767	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP013769	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP013770	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP013771	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP013774	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP013776	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP013775	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP013779	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP013780	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP013783	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP013785	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013788	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP013790	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013792	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP013794	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013797	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP013799	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013803	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP013805	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013808	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP013810	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP013815	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP013813	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP033942	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP033943	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP033945	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038812	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038813	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038815	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038877	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038878	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038880	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038883	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038885	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038892	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038888	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038890	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038894	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038895	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038896	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP038897	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP038899	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP038902	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP038903	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP038910	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038911	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP038912	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP038906	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP038907	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP038915	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038917	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038921	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP038922	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP038924	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038925	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038929	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP038930	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP038939	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038941	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038943	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038944	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038946	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038948	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038949	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038950	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP038951	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP038953	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038954	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038955	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP038956	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP038958	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038959	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038960	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP038961	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP038963	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038964	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038965	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP038966	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP038968	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038969	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038971	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038933	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038934	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP038936	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP038973	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP038974	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP039034	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP039036	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039037	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP039038	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP039039	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP039042	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039043	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP039044	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP039045	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP039047	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP039049	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039058	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039059	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039063	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039064	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039066	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039068	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP039071	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP039073	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039074	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039079	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039080	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039084	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039085	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039090	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039091	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039095	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039096	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039100	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039101	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039105	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039106	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039108	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP039110	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039111	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039113	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP039115	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039116	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039172	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP039174	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039175	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039177	5_0	Clustered	11	VC_5_0	11	0.2766	1	0.2766
NZ_CP039179	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039180	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039184	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP039187	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039193	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP039196	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039198	39_0	Clustered	8	VC_39_0	8	0.1462	1	0.1462
NZ_CP039200	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP039202	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039205	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039206	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP039053	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039054	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039210	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039211	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP039212	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP039213	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP039215	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP039216	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP039218	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP039224	352_0	Clustered	3	VC_352_0	3	0.2685	0.99828539	0.2681
NZ_CP039239	3_0	Clustered	3	VC_3_0	3	0.0375	0.99857862	0.0374
NZ_CP039245	3_0	Clustered	3	VC_3_0	3	0.0375	0.99857862	0.0374
NZ_CP039246	352_0	Clustered	3	VC_352_0	3	0.2685	0.99828539	0.2681
NZ_CP039871	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP039872	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP039228	3_0	Clustered	3	VC_3_0	3	0.0375	0.99857862	0.0374
NZ_CP039232	352_0	Clustered	3	VC_352_0	3	0.2685	0.99828539	0.2681
NZ_CP048054	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP048055	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP048061	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP048067	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP048068	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP048069	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP048070	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP050945	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP050941	12_0	Clustered	23	VC_12_0	23	0.4174	1	0.4174
NZ_CP050939	13_0	Clustered	11	VC_13_0	11	0.2225	1	0.2225
NZ_CP050946	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP061201	28_0	Clustered	30	VC_28_0	30	0.7788	1	0.7788
NZ_CP061192	13_1	Clustered	16	VC_13_1	16	0.3834	1	0.3834
NZ_CP061193	36_0	Clustered	17	VC_36_0	17	0.3047	1	0.3047
NZ_CP011852	34_0	Clustered	28	VC_34_0	28	0.6954	1	0.6954
NZ_CP011851	139_0	Clustered	33	VC_139_0	33	0.8923	1	0.8923
NZ_CP070504	458_0	Clustered	2	VC_458_0	2	0.3083	0.94417533	0.2911
NZ_CP053567	908_0	Clustered	2	VC_908_0	2	1	1	1
NZ_CP044087	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_AP022474	533_0	Clustered	3	VC_533_0	3	0.3844	0.99611771	0.3829
NZ_CP018759	458_1	Clustered/Singleton	1	VC_458_1	1	0	1	0
NZ_AP015032	458_0	Clustered	2	VC_458_0	2	0.3083	0.94417533	0.2911
NZ_CP048351	104_3	Clustered/Singleton	1	VC_104_3	1	0	1	0
NZ_CP027794	518_0	Clustered	5	VC_518_0	5	0.7038	0.99995697	0.7038
NZ_CP027560	518_0	Clustered	5	VC_518_0	5	0.7038	0.99995697	0.7038
NZ_CP049247	71_0	Clustered	3	VC_71_0	3	0.5604	0.99631449	0.5584
NZ_CP015530	381_1	Clustered/Singleton	1	VC_381_1	1	0	1	0
NZ_CP019203	175_0	Clustered	2	VC_175_0	2	0.1168	0.95520178	0.1116
NZ_CP045054	261_0	Clustered	4	VC_261_0	4	0.2942	0.99998324	0.2942
NZ_CP045058	261_0	Clustered	4	VC_261_0	4	0.2942	0.99998324	0.2942
NZ_CP045061	261_0	Clustered	4	VC_261_0	4	0.2942	0.99998324	0.2942
NZ_CP051361	9_18	Clustered	8	VC_9_18	8	0.0374	1	0.0374
NZ_CP030183	9_18	Clustered	8	VC_9_18	8	0.0374	1	0.0374
NZ_CP030187	1_4	Clustered	2	VC_1_4	2	0.0101	0.95769103	0.0097
NZ_CP030188	9_6	Clustered	9	VC_9_6	9	0.0473	1	0.0473
NZ_CP054718	86_0	Clustered	65	VC_86_0	65	0.9154	1	0.9154
NZ_LN890526	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP022660	261_0	Clustered	4	VC_261_0	4	0.2942	0.99998324	0.2942
NZ_CP022659	175_2	Clustered/Singleton	1	VC_175_2	1	0	1	0
NZ_CP029929	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029951	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029865	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029867	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029898	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029889	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029891	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029893	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029901	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029876	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029916	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029921	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029884	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029905	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029847	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029961	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029849	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029851	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029857	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029859	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP029647	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP011430	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP040567	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP032492	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP032497	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP035549	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP043906	313_0	Clustered	3	VC_313_0	3	0.5108	0.99743666	0.5095
NZ_CP051374	175_0	Clustered	2	VC_175_0	2	0.1168	0.95520178	0.1116
NZ_CP014995	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP033346	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP044185	86_0	Clustered	65	VC_86_0	65	0.9154	1	0.9154
NC_003385	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
